farmid,year,prod,area,labor,fert
201,1990,7.8699999,2.5,160,207.5
201,1991,7.1799998,2.5,138,295.5
201,1992,8.9200001,2.5,140,362.5
201,1993,7.3099999,2.5,127,338
201,1994,7.54,2.5,145,337.5
201,1995,4.5100002,2.5,123,207.2
201,1996,4.3699999,2.25,123,345
201,1997,7.27,2.1500001,87,222.8
202,1990,10.35,3.8,184,303.5
202,1991,10.21,3.8,151,206
202,1992,13.29,3.8,185,374.5
202,1993,18.58,3.8,262,421
202,1994,17.07,3.8,174,595.70001
202,1995,16.610001,4.25,244,234.8
202,1996,12.28,4.25,159,479
202,1997,14.2,3.75,133,170
203,1990,9.9799995,3.4000001,170,252
203,1991,10.44,4.3000002,148,444
203,1992,10.4,4.3000002,198,283.5
203,1993,8.9200001,4.3000002,189,287
203,1994,7.3600001,4.3000002,214,294
203,1995,10.17,2.8,119,361.79999
203,1996,5.4299998,4.3000002,163,250.5
203,1997,10.95,3.55,147,246.5
204,1990,4.8299999,1.4,68,88
204,1991,3.1300001,1.4,88,52.5
204,1992,5.8400002,1.4,53,52.5
204,1993,4.8800001,1.4,75,71
204,1994,4.46,1.4,74,69.800003
204,1995,4.3699999,1.4,85,116.5
204,1996,4.1399999,1.4,64,134.2
204,1997,3.9100001,1.4,53,104.7
205,1990,8.7399998,3.5999999,130,149.8
205,1991,9.1899996,3.5999999,152,204
205,1992,9.8400002,3.5999999,152,198.8
205,1993,10.95,3.5999999,163,218
205,1994,8,3.5999999,144,221.3
205,1995,8.9200001,3.4000001,180,146.60001
205,1996,9.1999998,3.4000001,148,262.79999
205,1997,11.04,3.0999999,224,164.3
206,1990,1.84,.5,34,21
206,1991,.97000003,.5,17,21
206,1992,1.7,.5,25,47.5
206,1993,1.24,.5,30,31
206,1994,1.5599999,.5,37,28.5
206,1995,1.47,.5,18,35.700001
206,1996,1.01,.5,15,44.799999
206,1997,1.84,.5,39,59.799999
207,1990,7.3600001,1.75,91,243
207,1991,7.8200002,1.75,88,218
207,1992,7.5900002,1.75,82,309
207,1993,7.6399999,1.75,83,178
207,1994,6.5799999,1.75,93,240
207,1995,13.06,3.75,211,555
207,1996,9.9399996,3.75,141,415
207,1997,8.2799997,1.75,87,310
208,1990,6.6700001,1.7,114,154.60001
208,1991,5.8400002,1.7,83,158.3
208,1992,4.5500002,1.7,102,191.8
208,1993,6.3499999,1.7,114,195
208,1994,5.8400002,1.7,100,172.5
208,1995,4.9099998,1.7,89,299.5
208,1996,4.2800002,1.7,144,210.2
